Nome,Nasc.,Pos.,Gols,GP,Ast.,Des.,Int.,Def.,PD,Part.,Valor
Declan Rice,14/01/1999,MEI,39,-,50,62*,38*,-,-,444,€120.00m
Rodri,22/06/1996,MEI,28,-,32,16*,5*,-,-,295,€75.00m
Moisés Caicedo,02/11/2001,MEI,15,-,18,84*,42*,-,-,245,€110.00m
João Neves,27/09/2004,MEI,12,-,21,-,-,-,-,125,€110.00m
Vitinha,13/02/2000,MEI,21,-,35,-,-,-,-,288,€110.00m
Arda Güler,25/02/2005,MEI,18,-,22,-,-,-,-,84,€90.00m
Bruno Fernandes,08/09/1994,MEI,165,48,142,-,-,-,-,585,€40.00m
Martin Ødegaard,17/12/1998,MEI,58,-,78,-,-,-,-,421,€75.00m
Nicolo Barella,07/02/1997,MEI,25,-,55,-,-,-,-,442,€60.00m
Alexis Mac Allister,24/12/1998,MEI,42,10,38,-,-,-,-,315,€85.00m
Dominik Szoboszlai,25/10/2000,MEI,64,15,72,-,-,-,-,338,€85.00m
Ryan Gravenberch,16/05/2002,MEI,18,-,24,-,-,-,-,224,€90.00m
Sandro Tonali,08/05/2000,MEI,22,-,34,-,-,-,-,285,€75.00m
Manu Koné,17/05/2001,MEI,12,-,15,-,-,-,-,188,€50.00m
Phil Foden,28/05/2000,MEI,89,-,65,-,-,-,-,342,€80.00m
William Saliba,24/03/2001,DEF,8,-,3,74*,48*,-,-,301,€90.00m
Pau Cubarsí,22/01/2007,DEF,1,-,5,-,-,-,-,118,€80.00m
Alessandro Bastoni,13/04/1999,DEF,5,-,18,-,-,-,-,312,€80.00m
Gabriel Magalhães,19/12/1997,DEF,21,-,4,-,-,-,-,345,€75.00m
Dean Huijsen,14/04/2005,DEF,4,-,2,-,-,-,-,82,€70.00m
Willian Pacho,16/10/2001,DEF,2,-,1,-,-,-,-,192,€70.00m
Josko Gvardiol,23/01/2002,DEF,9,-,8,-,-,-,-,215,€70.00m
Dayot Upamecano,27/10/1998,DEF,6,-,3,-,-,-,-,328,€70.00m
Micky van de Ven,19/04/2001,DEF,3,-,5,-,-,-,-,185,€65.00m
Cristian Romero,27/04/1998,DEF,12,-,3,-,-,-,-,288,€60.00m
Rúben Dias,14/05/1997,DEF,7,-,5,-,-,-,-,412,€60.00m
Murillo,04/07/2002,DEF,2,-,1,-,-,-,-,115,€55.00m
Leny Yoro,13/11/2005,DEF,3,-,1,-,-,-,-,92,€55.00m
Marc Guéhi,13/07/2000,DEF,5,-,2,-,-,-,-,245,€55.00m
Nico Schlotterbeck,01/12/1999,DEF,14,-,12,-,-,-,-,265,€55.00m
Piero Hincapié,09/01/2002,DEF,4,-,5,-,-,-,-,198,€50.00m
Ilya Zabarnyi,01/09/2002,DEF,2,-,1,-,-,-,-,212,€50.00m
Levi Colwill,26/02/2003,DEF,3,-,4,-,-,-,-,145,€50.00m
Ibrahima Konaté,25/05/1999,DEF,6,-,1,-,-,-,-,242,€50.00m
Ousmane Diomande,04/12/2003,DEF,4,-,2,-,-,-,-,128,€45.00m
Gianluigi Donnarumma,25/02/1999,GOL,-,-,-,-,-,480*,14,482,€45.00m
Diogo Costa,19/09/1999,GOL,-,-,-,-,-,-,-,245,€40.00m
Gregor Kobel,06/12/1997,GOL,-,-,-,-,-,-,10,312,€40.00m
Bart Verbruggen,18/08/2002,GOL,-,-,-,-,-,-,1,115,€35.00m
Lucas Chevalier,06/11/2001,GOL,-,-,-,-,-,-,-,165,€35.00m
Mile Svilar,27/08/1999,GOL,-,-,-,-,-,-,-,154,€35.00m
David Raya,15/09/1995,GOL,-,-,-,-,-,-,-,382,€35.00m
Joan García,04/05/2001,GOL,-,-,-,-,-,-,-,124,€30.00m
Guglielmo Vicario,07/10/1996,GOL,-,-,-,-,-,-,-,312,€30.00m
Anatoliy Trubin,01/08/2001,GOL,-,-,-,-,-,-,-,185,€28.00m
Giorgi Mamardashvili,29/09/2000,GOL,-,-,-,-,-,-,1,212,€28.00m
Djordje Petrovic,08/10/1999,GOL,-,-,-,-,-,-,-,145,€28.00m
Dean Henderson,12/03/1997,GOL,-,-,-,-,-,-,1,254,€28.00m
James Trafford,10/10/2002,GOL,-,-,-,-,-,-,-,112,€25.00m
Senne Lammens,07/07/2002,GOL,-,-,-,-,-,-,-,84,€25.00m
Marco Carnesecchi,01/07/2000,GOL,-,-,-,-,-,-,-,168,€25.00m
Unai Simón,11/06/1997,GOL,-,-,-,-,-,-,-,345,€25.00m
Mike Maignan,03/07/1995,GOL,-,-,-,-,-,-,14,382,€25.00m
Robert Sánchez,18/11/1997,GOL,-,-,-,-,-,-,1,245,€22.00m
Caoimhín Kelleher,23/11/1998,GOL,-,-,-,-,-,-,3,118,€22.00m
Alisson Becker,02/10/1992,GOL,-,-,1,-,-,293*,6,485,€17.00m
Thibaut Courtois,11/05/1992,GOL,-,-,-,-,-,629*,13,665,€18.00m
Wojciech Szczesny,18/04/1990,GOL,-,-,-,-,-,-,21,582,€5.00m
Jan Oblak,07/01/1993,GOL,-,-,-,-,-,554*,-,629,€17.00m
Emiliano Martínez,02/09/1992,GOL,-,-,-,-,-,-,9,388,€15.00m
Virgil van Dijk,08/07/1991,DEF,32,-,8,-,-,-,-,612,€18.00m
Mohamed Salah,15/06/1992,ATA,325,42,165,-,-,-,-,624,€30.00m
Bruno Guimarães,16/11/1997,MEI,24,-,35,92*,44*,-,-,315,€75.00m
Gabriel Martinelli,18/06/2001,ATA,45,-,32,-,-,-,-,215,€45.00m
Estêvão,24/04/2007,ATA,14,-,8,-,-,-,-,45,€80.00m
Pedro Neto,09/03/2000,ATA,22,-,41,-,-,-,-,185,€55.00m
Marcus Rashford,31/10/1997,ATA,135,12,74,-,-,-,-,412,€50.00m
Ollie Watkins,30/12/1995,ATA,112,-,38,-,-,-,-,388,€50.00m
Antoine Semenyo,07/01/2000,ATA,42,-,18,-,-,-,-,192,€72.00m
Dominic Calvert-Lewin,16/03/1997,ATA,78,8,15,-,-,-,-,285,€25.00m
Danny Welbeck,26/11/1990,ATA,92,-,42,-,-,-,-,452,€4.00m
Jean-Philippe Mateta,28/06/1997,ATA,68,5,12,-,-,-,-,215,€35.00m
Adam Wharton,06/02/2004,MEI,5,-,14,54*,32*,-,-,98,€60.00m
Kobbie Mainoo,19/04/2005,MEI,6,-,8,-,-,-,-,74,€40.00m
Elliot Anderson,06/11/2002,MEI,12,-,18,-,-,-,-,115,€60.00m
